lead_id,old_counsellor_id,new_counsellor_id,source_timeline_id,new_timeline_id
686885,4749648,4900527,269801153,272484553
686886,4749648,4900527,269801154,272484554
686887,4749648,4900527,269801155,272484555
686888,4749648,4900527,269801156,272484556
686903,4749651,4900534,269613294,272484557
686904,4749648,4900527,269801157,272484559
686918,4749651,4900534,269613295,272484560
686919,4749648,4900527,269801158,272484561
686924,4749648,4900527,269801159,272484562
686925,4749648,4900527,269801160,272484563
686934,4749651,4900534,269613296,272484564
686935,4749648,4900527,269801161,272484566
686945,4749651,4900534,269613297,272484567
686946,4749648,4900527,269801163,272484568
686949,4749648,4900527,269801164,272484569
686956,4749651,4900534,269613298,272484570
686960,4749648,4900527,269801165,272484571
686967,4749651,4900534,269613299,272484572
686968,4749648,4900527,269801166,272484573
686978,4749651,4900534,269613300,272484574
686979,4749648,4900527,269801167,272484575
686989,4749651,4900534,269613301,272484576
686990,4749648,4900527,269801168,272484577
687003,4749648,4900527,269801169,272484578
687004,4749648,4900527,269801170,272484579
687009,4749648,4900527,269801171,272484580
687038,4749648,4900527,269801172,272484581
687044,4749648,4900527,269801173,272484582
687057,4749648,4900527,269801174,272484583
687060,4749648,4900527,269801175,272484584
687061,4749648,4900527,269801176,272484585
687062,4749648,4900527,269801177,272484586
687066,4749648,4900527,269801178,272484587
687068,4749648,4900527,269801179,272484588
687069,4749648,4900527,269801180,272484589
687076,4749648,4900527,269801181,272484590
687084,4749648,4900527,269801182,272484591
687085,4749648,4900527,269801183,272484592
687087,4749648,4900527,269801184,272484593
687088,4749648,4900527,269801185,272484594
687089,4749648,4900527,269801186,272484595
687090,4749648,4900527,269801187,272484596
687092,4749648,4900527,269801188,272484597
687093,4749648,4900527,269801189,272484598
687094,4749648,4900527,269801190,272484599
687095,4749648,4900527,269801191,272484600
687096,4749648,4900527,269801192,272484601
687097,4749648,4900527,269801193,272484602
687098,4749648,4900527,269801194,272484603
687101,4749648,4900527,269801195,272484604
687105,4749648,4900527,269801196,272484605
687107,4749648,4900527,269801197,272484606
687108,4749648,4900527,269801198,272484607
687109,4749648,4900527,269801199,272484608
687110,4749648,4900527,269801200,272484609
687111,4749648,4900527,269801201,272484610
687794,4749648,4900527,269801202,272484611
687797,4749648,4900527,269801203,272484612
687804,4749651,4900534,269613302,272484613
687808,4749648,4900527,269801204,272484614
687815,4749651,4900534,269613303,272484615
687816,4749648,4900527,269801205,272484616
687819,4749648,4900527,269801206,272484617
687826,4749651,4900534,269613304,272484618
687837,4749651,4900534,269613305,272484619
687839,4749651,4900534,269613306,272484620
687848,4749651,4900534,269613307,272484621
687849,4749648,4900527,269801207,272484622
687852,4749648,4900527,269801208,272484623
687861,4749648,4900527,269801209,272484624
687871,4749648,4900527,269801210,272484625
687874,4749648,4900527,269801211,272484626
687881,4749651,4900534,269613308,272484627
687992,4749651,4900534,269613309,272484628
688074,4749651,4900534,269613310,272484629
688077,4749651,4900534,269613311,272484630
688078,4749651,4900534,269613312,272484631
688079,4749651,4900534,269613313,272484632
688080,4749651,4900534,269613314,272484633
688081,4749651,4900534,269613315,272484634
688083,4749651,4900534,269613316,272484635
688084,4749651,4900534,269613317,272484636
688085,4749651,4900534,269613318,272484637
688086,4749651,4900534,269613319,272484638
688087,4749651,4900534,269613320,272484639
688088,4749651,4900534,269613321,272484640
688089,4749651,4900534,269613322,272484641
688091,4749651,4900534,269613323,272484642
688092,4749651,4900534,269613324,272484643
688093,4749651,4900534,269613325,272484644
688094,4749651,4900534,269613326,272484645
688096,4749651,4900534,269613327,272484646
688097,4749651,4900534,269613328,272484647
688098,4749651,4900534,269613329,272484648
688099,4749651,4900534,269613330,272484649
