lead_id,counsellor_id,previous_counsellor,reassigned_by,reassigned_on,updated_at
686885,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686886,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686887,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686888,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686903,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686904,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686918,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686919,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686924,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686925,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686934,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686935,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686945,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686946,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686949,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686956,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686960,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686967,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686968,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686978,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686979,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
686989,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
686990,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687003,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687004,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687009,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687038,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687044,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687057,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687060,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687061,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687062,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687066,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687068,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687069,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687076,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687084,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687085,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687087,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687088,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687089,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687090,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687092,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687093,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687094,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687095,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687096,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687097,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687098,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687101,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687105,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687107,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687108,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687109,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687110,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687111,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687794,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687797,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687804,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687808,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687815,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687816,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687819,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687826,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687837,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687839,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687848,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687849,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687852,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687861,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687871,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687874,4749648,4749648,4640466,2026-09-17T10:41:41.227Z,2026-09-17T10:41:41.227Z
687881,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
687992,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688074,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688077,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688078,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688079,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688080,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688081,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688083,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688084,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688085,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688086,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688087,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688088,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688089,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688091,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688092,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688093,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688094,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688096,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688097,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688098,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
688099,4749651,4749651,4640466,2026-09-17T07:36:49.441Z,2026-09-17T07:36:49.441Z
